topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,1000000,1,1,1,1000,512,10000,5,29,0.000815695117949
4,10,2,1000000,1,1,1,1000,512,10000,5,29,0.000851100916057
4,10,4,10,1,1,1,1000,512,10000,5,29,0.0141718515734
4,10,4,1000000,10,1,1,1000,512,10000,5,29,0.000324099228834
4,10,4,1000000,1,0,1,1000,512,10000,5,29,0.000881059668302
4,10,4,1000000,1,1,1000,1000,512,10000,5,29,0.0
4,10,4,1000000,1,1,1,10,512,10000,5,29,2.0
4,10,4,1000000,1,1,1,1000,1024,10000,5,29,0.000867442053645
4,10,4,1000000,1,1,1,1000,512,100,5,29,2.0
4,10,4,1000000,1,1,1,1000,512,10000,2,29,0.00234086795952
4,10,4,1000000,1,1,1,1000,512,10000,5,0,0.000908294897616
2,10,2,1000000,1,0,1,1000,1024,100,5,29,2.0
4,10,2,1000000,10,0,1,10,1024,10000,2,0,2.0
2,10,2,1000000,1,0,1000,10,512,10000,2,29,2.0
2,10,4,10,1,0,1,10,512,100,5,29,0.0150855935169
4,1,2,1000000,10,0,1,1000,1024,100,5,29,2.0
2,10,2,1000000,10,0,1000,10,1024,10000,5,0,2.0
2,10,4,10,1,0,1000,10,1024,10000,2,29,2.0
4,10,4,10,1,1,1,1000,512,100,2,29,2.0
4,10,4,1000000,10,0,1,1000,1024,10000,5,29,0.0
2,10,2,10,10,1,1,10,1024,100,5,29,0.135583780332
2,1,2,1000000,1,0,1,10,1024,100,2,29,0.00128958810801
2,10,2,10,10,0,1000,1000,1024,10000,5,29,0.275935087554
4,10,4,1000000,10,1,1000,1000,512,10000,5,0,0.000472531228595
4,10,4,1000000,1,1,1,1000,512,100,2,0,2.0
4,1,4,1000000,1,1,1,1000,512,100,5,29,2.0
4,10,2,1000000,1,1,1,10,512,100,5,29,0.000796630457429
4,1,4,1000000,1,1,1,1000,1024,10000,5,29,0.000812971595018
4,10,4,10,10,1,1,1000,512,10000,5,0,0.0785477631025
2,10,4,1000000,1,1,1,10,512,10000,5,29,2.0
2,10,4,1000000,1,1,1,1000,1024,10000,5,29,0.00105536513591
4,10,2,1000000,1,1,1,1000,1024,10000,5,0,0.000867442053645
4,1,4,1000000,1,1,1,10,512,10000,5,29,2.0
4,1,4,1000000,1,1,1,1000,1024,100,5,29,2.0
4,10,4,1000000,1,1,1,10,512,100,5,29,4.08528439707e-06
4,1,4,10,1,0,1000,10,512,100,2,29,0.737934452974
2,1,4,10,10,0,1000,10,1024,10000,5,29,2.0
4,1,2,1000000,10,0,1000,10,512,10000,2,29,2.0
4,1,2,1000000,1,1,1000,10,1024,100,5,0,2.0
2,10,4,10,1,0,1,1000,1024,10000,2,29,0.0147723883798
4,1,4,1000000,10,0,1000,1000,1024,100,2,29,2.0
2,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.0024171266016
2,10,4,1000000,10,0,1,1000,512,100,5,0,2.0
4,10,4,10,10,0,1000,1000,512,10000,5,29,0.195504008345
4,10,4,10,10,0,1,1000,512,10000,2,29,0.142023550303
4,10,4,10,1,1,1000,1000,1024,10000,2,0,0.709910763771
2,1,2,1000000,1,1,1,1000,512,100,2,29,2.0
4,10,4,1000000,1,0,1,1000,1024,10000,5,0,0.00091646546641
4,10,4,1000000,1,1,1,10,1024,10000,5,29,2.0
2,10,4,10,1,1,1,1000,512,10000,5,29,0.0151400639756
4,10,4,10,10,1,1,1000,512,10000,2,29,0.142904609971
4,10,4,1000000,1,0,1,10,512,100,5,29,0.000949147741587
4,1,4,10,1,1,1,1000,512,100,5,29,2.0
4,10,2,1000000,1,1,1000,1000,512,10000,5,29,2.0
4,1,4,1000000,10,1,1,1000,1024,10000,5,29,8.17056879415e-06
4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.000832036255537
4,1,4,1000000,1,1,1,1000,512,10000,2,29,0.00208485680397
2,1,4,1000000,1,1,1,1000,512,10000,5,29,0.000872889099508
4,1,4,1000000,1,0,1,1000,1024,10000,5,29,0.000783012842772
4,1,4,1000000,1,0,1,10,512,10000,2,29,2.0
2,1,2,1000000,1,0,1000,1000,1024,100,5,29,2.0
4,10,2,1000000,10,0,1,10,512,100,2,29,4.08528439707e-06
4,10,4,1000000,10,0,1000,1000,512,10000,2,0,5.44704586276e-06
2,1,4,10,1,1,1000,1000,512,100,2,0,2.0
2,10,2,1000000,10,1,1000,10,1024,100,5,0,2.0
4,1,2,10,1,1,1,1000,512,10000,2,29,0.0146770650772
4,10,4,1000000,1,1,1,10,512,100,2,0,0.00231363273021
2,10,2,10,10,1,1000,1000,1024,100,5,29,2.0
4,10,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,1,2,10,1,1,1000,10,1024,10000,5,0,2.0
4,1,2,10,1,1,1,1000,512,100,2,0,2.0
4,1,2,10,1,1,1,1000,512,10000,5,29,0.0139852902526
4,10,4,1000000,10,1,1,1000,512,100,5,29,2.0
4,10,4,1000000,10,0,1,1000,512,10000,5,29,2.72352293138e-06
4,10,2,1000000,1,1,1,1000,512,100,5,0,2.0
4,10,4,10,1,1,1,1000,512,100,5,0,2.0
4,1,2,1000000,1,1,1,1000,512,100,5,29,2.0
4,10,4,1000000,1,1,1000,1000,1024,10000,2,29,0.000510660549634
4,10,4,1000000,1,1,1000,1000,1024,10000,5,29,2.0
4,10,4,1000000,1,0,1,1000,512,10000,2,29,0.0023735502347
4,10,4,1000000,1,1,1,1000,1024,10000,5,0,0.000943700695724
4,10,4,1000000,10,1,1,1000,1024,100,5,29,2.0
4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00305443096755
4,1,2,10,10,1,1,1000,1024,10000,2,0,0.143979039768
2,1,4,10,10,0,1000,1000,1024,10000,5,29,0.31464588074
2,10,4,1000000,10,0,1,10,1024,10000,5,0,2.0
4,10,4,1000000,1,0,1000,1000,512,100,2,29,2.0
4,1,2,10,1,1,1000,1000,1024,10000,2,0,0.467236700016
4,1,2,10,1,0,1,10,1024,100,5,29,0.0144823331876
2,1,2,1000000,1,1,1000,10,512,10000,5,0,2.0
4,10,2,10,1,1,1,10,512,100,2,29,0.0145354418848
4,1,2,1000000,10,0,1000,10,1024,100,2,29,2.0
4,10,2,1000000,10,1,1,10,1024,100,2,0,0.002421211886
4,10,2,10,1,0,1000,1000,512,10000,2,0,0.604283012162
2,10,2,10,1,0,1000,1000,1024,100,5,29,2.0
2,10,4,1000000,1,1,1,10,512,10000,2,29,2.0
4,10,4,1000000,10,1,1,1000,1024,10000,5,29,2.72352293138e-06
4,10,4,10,1,1,1000,1000,512,10000,2,29,0.718788086766
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.000668624879654
4,10,2,10,1,1,1,1000,512,10000,5,0,0.014287601298
4,10,2,1000000,1,1,1,10,512,10000,5,0,2.0
4,10,4,10,1,0,1,1000,512,10000,5,0,0.0144060745455
4,1,4,1000000,1,1,1000,1000,512,10000,5,29,0.000130729100706
4,10,4,10,1,1,1,10,512,10000,5,29,2.0
4,10,4,10,1,1,1000,1000,1024,10000,5,29,0.220173679057
4,10,2,10,1,1,1,10,512,10000,5,29,2.0
4,10,4,10,10,1,1000,10,512,100,5,0,0.182422927705
2,10,4,10,10,0,1,1000,1024,100,2,29,2.0
4,1,4,1000000,10,0,1000,10,1024,100,2,0,2.0
2,10,2,1000000,10,1,1,1000,512,10000,2,29,2.0
4,10,4,10,1,1,1,1000,1024,100,5,29,2.0
4,10,4,10,10,1,1000,1000,512,10000,5,29,0.179715745912
4,10,4,1000000,1,1,1,10,512,100,2,29,0.00236537966591
2,1,2,1000000,10,1,1000,1000,1024,100,5,0,2.0
4,10,4,10,1,1,1000,1000,512,10000,5,29,0.210942298081
