new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,1,2,1,1,1024,0,337.4748
0,0,2,2,1,0,2048,1,337.4748
1,1,2,2,1,0,512,0,31.1244
0,0,2,2,1,0,512,0,165.7538
0,2,2,2,1,0,512,0,337.4748
0,1,1,2,1,0,512,0,337.4748
0,1,2,1,1,0,512,0,31.03
0,1,2,2,0,0,512,0,31.1458
0,1,2,2,1,1,512,0,31.6432
0,1,2,2,1,0,512,1,337.4748
0,1,2,2,0,1,512,0,31.6628
0,1,1,2,1,0,1024,1,337.4748
0,2,2,1,1,1,512,0,337.4748
0,1,2,2,0,0,1024,1,337.4748
0,1,1,0,0,1,512,5,337.4748
1,0,2,1,0,1,512,9,337.4748
1,1,1,0,1,1,2048,9,337.4748
1,1,1,0,0,1,2048,9,337.4748
0,2,2,1,1,1,4096,5,166.794
0,1,1,2,0,1,1024,0,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,1,2,1,1,0,4096,9,337.4748
0,2,1,0,1,0,1024,9,167.7622
0,1,2,2,0,0,4096,9,337.4748
0,1,1,1,1,1,1024,0,337.4748
1,1,1,1,0,1,2048,5,337.4748
0,1,1,2,0,0,512,1,337.4748
0,0,2,2,1,0,1024,1,337.4748
0,0,2,2,0,0,512,1,337.4748
1,0,1,2,1,0,512,0,337.4748
1,1,2,2,0,1,512,0,31.8482
0,1,2,1,0,0,1024,0,31.283
0,1,1,2,1,0,512,1,337.4748
1,1,2,1,1,0,1024,0,32.2274
0,1,1,2,0,0,1024,0,337.4748
1,1,2,2,1,0,1024,1,337.4748
0,2,2,1,1,0,512,1,165.0662
1,1,1,1,1,0,512,0,337.4748
1,2,2,0,0,0,512,0,337.4748
0,2,2,0,0,0,512,9,164.7462
1,2,2,2,0,0,512,5,165.3112
1,0,1,2,1,1,2048,0,337.4748
1,0,1,1,0,0,4096,5,337.4748
0,2,2,2,1,0,2048,9,164.9366
0,1,1,2,0,0,512,9,337.4748
0,0,1,0,1,1,512,5,337.4748
1,2,2,0,1,1,2048,9,165.2884
0,2,2,2,0,0,4096,1,166.6618
0,2,2,1,1,0,2048,9,165.4524
1,0,1,2,0,1,2048,1,337.4748
0,0,2,2,0,1,512,0,165.7776
0,0,2,2,1,1,512,0,163.3642
1,1,1,2,1,0,512,1,337.4748
0,1,2,1,1,1,512,0,31.368
0,1,1,2,0,0,512,0,337.4748
1,2,2,2,1,1,512,0,337.4748
0,1,1,1,1,0,512,0,337.4748
0,0,2,2,0,0,1024,0,164.0658
0,2,2,2,0,0,512,0,337.4748
1,1,2,2,0,0,512,1,337.4748
0,1,1,2,1,1,512,1,337.4748
0,1,2,1,0,1,512,0,31.4648
1,0,1,0,1,1,2048,0,168.3238
0,0,2,0,1,0,1024,1,337.4748
1,0,2,2,1,1,4096,1,337.4748
1,2,2,1,0,1,512,5,165.5166
0,2,1,1,0,1,2048,9,337.4748
1,1,1,1,0,1,2048,1,337.4748
1,2,1,0,1,1,4096,5,166.1682
0,0,1,1,0,1,512,1,337.4748
0,2,1,2,0,0,2048,9,337.4748
0,0,2,0,1,1,2048,0,165.9408
0,1,1,0,1,1,2048,5,337.4748
1,2,1,1,0,0,512,9,337.4748
0,1,1,1,0,0,512,0,337.4748
1,0,2,1,1,0,512,0,164.8182
1,1,1,2,1,0,1024,0,337.4748
0,1,2,2,0,1,1024,0,31.926
0,0,1,2,1,1,512,0,337.4748
0,2,2,2,1,0,1024,1,165.0964
1,1,2,2,1,1,512,1,337.4748
0,1,2,1,1,0,1024,1,337.4748
0,1,2,2,0,0,512,1,337.4748
0,1,2,1,0,0,512,0,30.7448
1,1,2,2,0,0,512,0,32.0308
1,0,2,2,1,1,512,0,166.1112
1,1,2,1,0,0,512,0,31.3498
0,0,2,1,0,0,512,0,165.9226
0,2,2,1,0,0,512,0,337.4748
0,1,2,0,0,0,512,0,31.3186
0,1,2,1,0,0,512,1,337.4748
1,2,2,1,0,0,1024,0,337.4748
0,2,1,1,1,0,512,0,337.4748
0,1,1,1,0,1,512,0,337.4748
0,1,2,1,0,0,1024,1,337.4748
0,0,2,1,1,0,512,0,165.6874
1,0,2,1,0,0,512,1,337.4748
1,1,1,0,0,0,512,0,32.4742
1,1,1,1,1,0,1024,1,337.4748
1,2,2,0,0,0,2048,0,337.4748
0,0,1,2,0,0,4096,1,337.4748
1,2,1,1,1,1,1024,9,337.4748
0,2,1,2,0,0,2048,5,337.4748
1,0,1,2,0,0,4096,5,337.4748
0,0,1,2,0,1,2048,0,337.4748
0,0,2,0,0,1,2048,5,337.4748
0,1,1,0,1,0,4096,5,337.4748
0,1,2,1,0,0,1024,9,337.4748
1,2,1,2,0,1,4096,0,337.4748
0,0,2,1,0,1,2048,9,337.4748
0,0,2,1,0,1,512,1,337.4748
0,1,1,1,0,0,512,1,337.4748
0,1,1,1,0,1,512,1,337.4748
1,1,1,1,0,1,512,0,337.4748
0,1,1,0,0,0,512,0,32.1214
1,2,2,1,0,0,512,0,337.4748
0,2,1,1,0,1,512,0,337.4748
0,1,1,1,1,0,512,1,337.4748
0,2,1,1,0,0,512,1,337.4748
1,2,2,1,0,1,512,0,337.4748
0,1,1,0,0,0,512,1,337.4748
0,1,2,0,0,0,1024,0,31.2232
0,0,1,0,0,1,1024,5,337.4748
0,2,1,1,0,0,2048,1,337.4748
1,0,2,2,1,0,4096,1,337.4748
1,2,1,0,0,1,2048,5,167.3886
0,2,2,0,1,0,4096,9,166.0144
1,1,1,0,0,0,4096,1,337.4748
1,2,2,1,1,0,4096,5,165.3856
0,2,2,2,0,1,512,0,337.4748
1,0,1,2,1,1,2048,5,337.4748
1,1,1,1,0,1,4096,5,337.4748
1,1,1,1,1,0,2048,5,337.4748
0,2,1,1,0,1,4096,9,337.4748
0,2,2,1,0,0,1024,1,166.5234
0,2,2,1,0,1,512,0,337.4748
0,1,2,1,0,1,1024,0,32.4226
0,1,1,1,0,0,1024,1,337.4748
0,2,2,1,1,0,1024,0,337.4748
1,1,2,1,0,0,1024,0,31.9878
1,1,1,1,0,0,512,1,337.4748
0,1,2,0,1,0,512,1,337.4748
0,1,2,0,0,1,1024,0,32.209
0,0,1,0,0,0,512,0,166.1946
0,1,2,1,0,1,1024,1,337.4748
0,0,2,0,0,0,512,0,161.8958
0,0,1,2,0,0,512,5,337.4748
1,2,2,0,1,1,512,1,164.6426
1,0,1,2,0,1,4096,0,337.4748
0,0,2,2,0,0,2048,1,337.4748
0,1,1,1,0,1,4096,9,337.4748
1,2,2,2,0,1,1024,9,165.0296
0,0,1,1,1,0,1024,9,337.4748
0,2,1,0,1,0,512,9,165.5856
0,0,1,0,1,1,2048,5,337.4748
0,2,2,2,0,1,4096,0,337.4748
1,1,2,2,1,0,2048,9,337.4748
0,2,2,2,0,1,1024,9,164.2452
0,0,1,1,1,0,512,0,337.4748
1,1,2,0,0,0,512,0,31.6822
0,1,1,2,0,1,512,0,337.4748
1,1,2,1,1,0,512,1,337.4748
0,1,2,0,1,1,512,0,31.4334
0,2,1,1,0,0,512,0,337.4748
1,1,2,1,0,1,512,1,337.4748
0,1,2,1,1,1,1024,0,32.4414
0,0,1,1,0,0,1024,0,337.4748
0,0,2,1,0,1,1024,0,165.681
0,1,2,1,1,0,512,1,337.4748
1,1,2,1,0,1,512,0,32.099
1,2,1,1,0,1,2048,1,337.4748
0,0,1,2,1,1,4096,1,337.4748
0,0,1,2,0,0,1024,0,337.4748
0,2,1,1,0,1,512,9,337.4748
1,1,1,2,0,1,4096,0,337.4748
1,2,2,0,1,0,512,1,165.1408
0,2,2,1,1,0,2048,0,337.4748
0,0,1,2,1,0,2048,1,337.4748
1,0,2,1,1,1,512,9,337.4748
0,0,2,1,0,1,2048,1,337.4748
0,2,2,0,0,1,512,0,337.4748
1,1,2,1,0,1,1024,0,32.517
1,1,2,1,1,1,512,0,31.6374
1,2,2,1,1,0,512,0,337.4748
1,1,2,0,1,0,512,0,31.376
0,1,2,0,0,0,512,1,337.4748
0,1,2,0,1,0,512,0,31.0946
0,1,1,1,1,1,512,0,337.4748
0,1,2,1,0,1,512,1,337.4748
0,2,1,2,1,1,2048,1,337.4748
0,1,2,1,1,0,512,9,337.4748
1,0,1,2,1,1,4096,1,337.4748
0,1,1,1,0,0,512,5,337.4748
1,0,1,2,1,1,4096,9,337.4748
1,1,2,1,0,0,1024,1,337.4748
0,1,2,1,1,1,512,1,337.4748
0,0,2,1,0,0,1024,0,165.5004
0,2,1,2,0,0,512,0,337.4748
1,0,2,1,0,1,512,0,165.4614
0,0,1,1,0,1,512,0,337.4748
0,2,2,1,1,0,1024,9,163.9654
0,2,2,1,0,0,1024,9,166.5906
0,2,2,1,0,1,512,1,166.5214
