topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,10,0,1000,10,1024,10000,2,0,2.0
2,1,2,1000000,1,0,1,1000,1024,10000,2,0,0.00145027596096
4,1,4,10,10,0,1,10,1024,100,5,0,0.0804814643838
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,0.000418060769967
4,1,2,1000000,1,0,1000,1000,512,10000,2,29,2.0
2,1,4,10,10,1,1,1000,1024,100,2,29,2.0
4,1,4,1000000,1,1,1000,10,512,100,2,29,2.0
2,10,4,1000000,10,1,1000,10,1024,100,2,0,2.0
4,10,2,1000000,1,0,1000,1000,1024,10000,2,0,0.0036753941959
2,10,4,10,1,0,1,10,1024,100,2,0,0.0145095684169
2,1,2,10,1,0,1,10,1024,100,5,0,0.0149480556089
4,1,2,1000000,1,1,1000,10,1024,100,2,29,2.17881834511e-05
4,10,4,1000000,10,0,1,10,1024,100,2,0,0.00314975427014
2,10,2,1000000,10,0,1,1000,512,100,5,0,2.0
4,10,4,1000000,10,0,1000,1000,1024,100,5,29,2.0
2,1,2,10,10,0,1,1000,1024,100,2,0,2.0
4,10,4,10,1,1,1000,10,1024,10000,5,0,2.0
2,1,4,1000000,1,1,1000,1000,512,10000,5,0,2.0
2,1,4,10,10,1,1,10,1024,100,2,0,0.150124669262
2,1,4,10,10,0,1,1000,512,100,2,0,2.0
4,1,4,10,1,1,1,10,1024,100,2,0,0.0146212328571
2,1,2,10,10,1,1,1000,1024,100,2,0,2.0
4,1,2,10,1,0,1000,1000,1024,10000,5,29,0.231713245718
4,10,4,1000000,1,1,1000,1000,1024,100,2,0,2.0
4,10,2,10,10,0,1000,10,512,10000,5,0,2.0
2,10,2,1000000,1,0,1000,10,512,10000,2,0,2.0
2,10,4,10,1,1,1000,10,512,100,5,0,0.295318400257
2,1,4,1000000,1,1,1000,1000,1024,10000,2,29,2.0
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
2,10,2,10,10,1,1,10,512,10000,5,29,2.0
4,10,2,1000000,10,0,1,1000,512,10000,2,29,2.0
2,10,2,1000000,10,1,1000,10,1024,10000,2,29,2.0
4,10,4,10,1,1,1000,1000,1024,100,2,29,2.0
2,1,2,10,1,0,1,10,1024,100,5,0,0.0149480556089
2,1,2,1000000,1,1,1000,10,1024,10000,2,29,2.0
4,1,4,10,10,0,1000,10,512,100,2,0,0.485112542776
2,10,4,1000000,1,1,1000,10,512,100,5,29,2.0
4,1,2,1000000,1,1,1000,10,512,100,5,0,0.000136176146569
2,10,2,10,1,1,1,10,1024,100,2,29,0.0147424296276
2,10,2,10,1,0,1000,10,512,10000,5,29,2.0
4,10,2,10,1,1,1,10,1024,10000,5,29,2.0
4,10,4,1000000,1,1,1,10,512,10000,5,0,2.0
4,10,4,1000000,10,1,1000,10,512,10000,2,29,2.0
2,10,2,1000000,10,0,1,10,512,100,2,29,2.0
4,10,4,10,1,1,1000,1000,1024,100,2,29,2.0
4,1,2,10,10,1,1000,10,1024,100,5,29,0.209885571184
2,1,4,10,1,0,1000,1000,1024,10000,5,29,0.383363087821
2,1,4,10,10,1,1,1000,512,10000,2,29,0.149510514841
4,1,4,10,1,1,1,1000,512,10000,5,29,0.0143407099952
2,10,2,1000000,1,1,1,1000,512,10000,2,0,0.00246615001437
2,10,2,10,1,0,1,10,1024,10000,5,29,2.0
4,10,2,10,10,0,1,1000,512,100,2,29,2.0
4,1,4,10,10,0,1000,1000,512,100,5,0,2.0
